 i,   x(i),   F(i)
         265  0.94519913800000011        2.4538132137999998E-003
         266  0.94876592720000008        2.4541698927199999E-003
         267  0.95233271640000006        2.4545265716399999E-003
         268  0.95589950560000014        2.4548832505600000E-003
         269  0.95946629480000012        2.4552399294800000E-003
         270  0.96303308400000009        2.4555966084000001E-003
         271  0.96659987320000007        2.4559532873199997E-003
         272  0.97016666240000016        2.4563099662399997E-003
         273  0.97373345160000013        2.4566666451599998E-003
         274  0.97730024080000011        2.4570233240799998E-003
         275  0.98086703000000008        2.4573800029999999E-003
         276  0.98443381920000006        2.4577366819199999E-003
         277  0.98800060840000015        2.4580933608400000E-003
         278  0.99156739760000012        2.4584500397600000E-003
         279  0.99513418680000010        2.4588067186800001E-003
         280  0.99870097600000007        2.4591633976000001E-003
         281   1.0022677652000000        2.4595200765199997E-003
         282   1.0058345544000000        2.4598767554399998E-003
         283   1.0094013436000002        2.4602334343599998E-003
         284   1.0129681328000002        2.4605901132799999E-003
         285   1.0165349220000002        2.4609467921999999E-003
         286   1.0201017112000001        2.4613034711200000E-003
         287   1.0236685004000001        2.4616601500400000E-003
         288   1.0272352896000001        2.4620168289600001E-003
         289   1.0308020788000001        2.4623735078800001E-003
         290   1.0343688680000001        2.4627301867999997E-003
         291   1.0379356572000000        2.4630868657199998E-003
         292   1.0415024464000002        2.4634435446399998E-003
         293   1.0450692356000002        2.4638002235599999E-003
         294   1.0486360248000002        2.4641569024799999E-003
         295   1.0522028140000002        2.4645135814000000E-003
         296   1.0557696032000001        2.4648702603200000E-003
         297   1.0593363924000001        2.4652269392400001E-003
         298   1.0629031816000001        2.4655836181600001E-003
         299   1.0664699708000001        2.4659402970799997E-003
         300   1.0700367600000000        2.4662969759999998E-003
         301   1.0736035492000002        2.4666536549199998E-003
         302   1.0771703384000002        2.4670103338399999E-003
         303   1.0807371276000002        2.4673670127599999E-003
         304   1.0843039168000002        2.4677236916800000E-003
         305   1.0878707060000001        2.4680803706000000E-003
         306   1.0914374952000001        2.4684370495200001E-003
         307   1.0950042844000001        2.4687937284400001E-003
         308   1.0985710736000001        2.4691504073599997E-003
         309   1.1021378628000000        2.4695070862799998E-003
         310   1.1057046520000002        2.4698637651999998E-003
         311   1.1092714412000002        2.4702204441199999E-003
         312   1.1128382304000002        2.4705771230399999E-003
         313   1.1164050196000002        2.4709338019600000E-003
         314   1.1199718088000001        2.4712904808800000E-003
         315   1.1235385980000001        2.4716471598000000E-003
         316   1.1271053872000001        2.4720038387200001E-003
         317   1.1306721764000001        2.4723605176399997E-003
         318   1.1342389656000000        2.4727171965599998E-003
         319   1.1378057548000002        2.4730738754799998E-003
         320   1.1413725440000002        2.4734305543999999E-003
         321   1.1449393332000002        2.4737872333199999E-003
         322   1.1485061224000002        2.4741439122399999E-003
         323   1.1520729116000001        2.4745005911600000E-003
         324   1.1556397008000001        2.4748572700800000E-003
         325   1.1592064900000001        2.4752139490000001E-003
         326   1.1627732792000001        2.4755706279199997E-003
         327   1.1663400684000000        2.4759273068399998E-003
         328   1.1699068576000002        2.4762839857599998E-003
         329   1.1734736468000002        2.4766406646799998E-003
         330   1.1770404360000002        2.4769973435999999E-003
         331   1.1806072252000002        2.4773540225199999E-003
         332   1.1841740144000001        2.4777107014400000E-003
         333   1.1877408036000001        2.4780673803600000E-003
         334   1.1913075928000001        2.4784240592800001E-003
         335   1.1948743820000001        2.4787807381999997E-003
         336   1.1984411712000000        2.4791374171199997E-003
         337   1.2020079604000002        2.4794940960399998E-003
         338   1.2055747496000002        2.4798507749599998E-003
         339   1.2091415388000002        2.4802074538799999E-003
         340   1.2127083280000002        2.4805641327999999E-003
         341   1.2162751172000001        2.4809208117200000E-003
         342   1.2198419064000001        2.4812774906400000E-003
         343   1.2234086956000001        2.4816341695600001E-003
         344   1.2269754848000001        2.4819908484799997E-003
         345   1.2305422740000000        2.4823475273999997E-003
         346   1.2341090632000002        2.4827042063199998E-003
         347   1.2376758524000002        2.4830608852399998E-003
         348   1.2412426416000002        2.4834175641599999E-003
         349   1.2448094308000002        2.4837742430799999E-003
         350   1.2483762200000001        2.4841309220000000E-003
         351   1.2519430092000001        2.4844876009200000E-003
         352   1.2555097984000001        2.4848442798400001E-003
         353   1.2590765876000001        2.4852009587600001E-003
         354   1.2626433768000001        2.4855576376799997E-003
         355   1.2662101660000002        2.4859143165999998E-003
         356   1.2697769552000002        2.4862709955199998E-003
         357   1.2733437444000002        2.4866276744399999E-003
         358   1.2769105336000002        2.4869843533599999E-003
         359   1.2804773228000002        2.4873410322800000E-003
         360   1.2840441120000001        2.4876977112000000E-003
         361   1.2876109012000001        2.4880543901200001E-003
         362   1.2911776904000001        2.4884110690400001E-003
         363   1.2947444796000001        2.4887677479599997E-003
         364   1.2983112688000003        2.4891244268799998E-003
         365   1.3018780580000002        2.4894811057999998E-003
         366   1.3054448472000002        2.4898377847199999E-003
